,NCT Number,Title,Interventions,Phases,Official Title
832,NCT01431209,ruxolitinib phosphat in treat patient with relaps or refractori diffus larg bcell or peripher tcell nonhodgkin lymphoma after donor stem cell transplant,['ruxolitinib phosphate'],['2'],a phase 2 multicenter investig initi studi of oral ruxolitinib phosphat for the treatment of relaps or refractori diffus larg bcell and peripher tcell nonhodgkin lymphoma
835,NCT02417285,a phase 1b openlabel studi to evalu the safeti and efficaci of cc122 with obinutuzumab ga101 in relapsedrefractori dlbcl and inhl,"['obinutuzumab', 'cc-122']",['1'],a phase 1b openlabel studi to evalu the safeti and efficaci of cc122 in combin with obinutuzumab ga101 in subject with relapsedrefractori diffus larg bcell lymphoma and indol nonhodgkin lymphoma
838,NCT00121199,combin chemo rituximab and bevacizumab in older patient with stage iiiv diffus larg bcell lymphoma,"['cyclophosphamide', 'doxorubicin hydrochloride', 'vincristine sulfate', 'prednisone']",['2'],phase ii trial of standard dose cyclophosphamide doxorubicin vincristine prednison chop and rituximab plus bevacizumab for advanc stage diffus larg bcell nhl
839,NCT01165112,bendamustin hydrochloride rituximab etoposide and carboplatin in treat patient with relaps or refractori diffus larg bcell lymphoma or hodgkin lymphoma,"['bendamustine hydrochloride', 'carboplatin', 'etoposide']","['1', '2']",a phase iii trial of bendamustinetreanda® rituximab etoposide and carboplatin for patient with relaps or refractori lymphoid malign and select untreat lymphoma trec
840,NCT00854568,comparison studi of doxorubicin versus epirubicininduc cardiotox in patient with dlbcl,"['ceop regimen', 'chop regimen']",['3'],a random phase iii studi compar chop versus ceopinduc cardiotox in patient with aggress bcell lymphoma
844,NCT01567709,alisertib in combin with vorinostat in treat patient with relaps or recurr hodgkin lymphoma bcell nonhodgkin lymphoma or peripher tcell lymphoma,"['alisertib', 'vorinostat']",['1'],phase i studi of the aurora kinas a inhibitor mln8237 in combin with the histon deacetylas inhibitor vorinostat in lymphoid malign
851,NCT01695941,alisertib bortezomib and rituximab in treat patient with relaps or refractori mantl cell lymphoma or bcell low grade nonhodgkin lymphoma,"['alisertib', 'bortezomib']",['1'],a phase i studi of mln8237 in combin with bortezomib and rituximab in relaps and refractori mantl cell and low grade nonhodgkin lymphoma
853,NCT02374424,phase ii studi with ga101dhap as induct therapi in relapsedrefractori dlbcl patient,['ga101_dhap'],['2'],phase ii studi with ga101dhap as induct therapi in relapsedrefractori diffus larg bcell lymphoma dlbcl patient befor highdos chemotherapi beam with autolog stem cell transplant asct
856,NCT01141712,autolog transplant in hiv patient bmt ctn 0803,"['bcnu', 'etoposide', 'cytarabine', 'melphalan']",['2'],high dose chemotherapi with autolog stem cell rescu for aggress b cell lymphoma and hodgkin lymphoma in hivinfect patient bmt ctn 0803
858,NCT01686321,rituximab and bendamustin in veri elder patient or elder medic non fit patient with aggress bcell lymphoma,"['bendamustine', 'subcutaneous rituximab']",['2'],subcutan rituximab and intraven bendamustin in veri elder patient or elder medic non fit patient slow go with aggress cd20posit bcell
859,NCT02624492,to determin the dose of bi 836826gemox and the efficaci of bi 836826gemox versus rgemox in patient with relapsedrefractori dlbcl,"['bi 836826', 'gemox', 'rituximab']",['2'],an open label multicent phase ibii trial to determin the dose of bi 836826 in combin with gemcitabin and oxaliplatin gemox and the efficaci of bi 836826gemox versus rituximab r gemox rgemox in patient with relapsed refractori diffus larg bcell lymphoma dlbcl who are not elig for or have relapsedprogress after autologousallogen stem cell transplant
860,NCT00655837,trial to defin the safeti and toler of sgn40 rituximab and gemcitabin in patient with dlbcl,"['sgn-40', 'rituximab', 'gemcitabine']",['1'],a phase ib studi of sgn40 in combin with rituximab and gemcitabin for the treatment of patient with relaps or refractori diffus larg bcell lymphoma dlbcl
862,NCT01397591,ofatumumab and bortezomib in subject with relaps cd20diffus larg b cell follicular or mantl cell lymphoma,['bortezomib'],['2'],phase ii trial of ofatumumab and bortezomib in subject with relaps cluster of differenti antigen 20 cd20 diffus larg b cell lymphoma follicular lymphoma or mantl cell lymphoma
864,NCT00529503,a random phase iib placebocontrol studi of rice chemotherapi with and without sgn40 for patient with dlbcl,"['sgn-40', 'placebo', 'rituximab', 'etoposide', 'carboplatin', 'ifosfamide']",['2'],a random phase iib placebocontrol studi of rice chemotherapi with and without sgn40 anticd40 human monoclon antibody for secondlin treatment of patient with diffus larg bcell lymphoma dlbcl
865,NCT00568815,rituximab combin with eshap in patient with relaps or refractori diffus larg b cell lymphoma dlbcl,['rituximab combined with eshap'],['2'],phase ii studi of rituximab combin with eshap in patient with relaps or refractori dlbcl
867,NCT00591630,zevalinbeamrituximab vs beamrituximab with or without rituximab in autolog stem cell transplant,"['zevalin', 'carmustine', 'etoposide', 'cytarabine', 'melphalan', 'rituximab']",['2'],zevalinbeamrituximab vs beamrituximab with or without rituximab mainten in autolog stem cell transplant for diffus larg bcell lymphoma
868,NCT01138579,studi of the trifunct antibodi fbta05 and donor lymphocyt infus in bcell lymphoma after allogen stem cell transplant,['fbta05'],"['1', '2']",phase iii doseescal studi of the investig trifunct bispecif anticd20 x anticd3 antibodi fbta05 in combin with donor lymphocyt infus dli in patient with cd20 posit chronic lymphocyt leukemia cll low and high grade nonhodgkin´ lymphoma nhl after allogen stem cell transplant
869,NCT00242996,rituximab cyclophosphamide and gcsf follow by combin chemotherapi in treat patient who are undergo autolog stem cell transplant follow by rituximab and gmcsf for refractori diffus larg bcell lymphoma,"['carmustine', 'cyclophosphamide', 'etoposide']",['2'],phase ii trial of rituximab and autolog stem cell transplant for refractori b cell larg cell lymphoma
870,NCT00436280,chemotherapi for patient with lymphoma,"['enzastaurin', 'gemcitabine', 'rituximab', 'oxaliplatin']",['2'],an openlabel singl arm phase 2 studi of rituximab gemcitabin and oxaliplatin plus enzastaurin as treatment for patient with relaps diffus larg bcell lymphoma
871,NCT00093769,bortezomib and rituximab in treat patient with nonhodgkin lymphoma,"['bortezomib', 'rituximab']",['2'],a phase ii studi of velcad with rituximab in subject with relaps or refractori indol bcell lymphoma
872,NCT00001337,doseadjust epoch chemotherapi and rituximab cd20 in previous untreat aggress nonhodgkin lymphoma,['epoch'],['2'],doseadjust epoch chemotherapi and rituximab cd20 in adult and children with previous untreat patient with aggress nonhodgkin lymphoma
873,NCT00690560,combin chemotherapy rituximab and yttrium y 90 ibritumomab tiuxetan in treat patient with newli diagnos larg bcell lymphoma,"['cyclophosphamide', 'doxorubicin hydrochloride', 'prednisone', 'vincristine sulfate']",['2'],intern phase ii studi evalu the associ of choprituximab with consolid by earli ibritumomab tiuxetany90 in patient age 65 to 80 year with cd20 larg cell malign lymphoma and no prior therapi
874,NCT00007839,beta alethin in treat patient with lowgrad lymphoma,['beta alethine'],"['1', '2']",phase iii studi to assess the safeti and efficaci of low dose of beta lt in patient with bcell lymphoma
875,NCT00963274,bortezomib and romidepsin in patient with chronic lymphocyt leukemiasmal lymphocyt lymphoma,"['bortezomib', 'romidepsin']",['1'],phase i studi of bortezomib and romidepsin in patient with chronic lymphocyt leukemiasmal lymphocyt lymphoma indol bcell lymphoma peripher tcell lymphoma or cutan tcell lymphoma
878,NCT00244985,rituximab and liposom doxorubicin in treat patient with relaps or refractori nonhodgkin lymphoma,['pegylated liposomal doxorubicin hydrochloride'],"['1', '2']",a phase iii pilot studi of the safeti and efficaci of rituxan chimer anticd20 antibody in combin with doxil liposom doxorubicin chemotherapi in patient with relaps or refractori indol or aggress bcell lymphoma
879,NCT02339922,ixazomib citrat and rituximab in treat patient with indol bcell nonhodgkin lymphoma,['ixazomib citrate'],['2'],a window studi of ixazomib in untreat indol bnhl
880,NCT00322218,studi compar the zevalin regimen with no further treatment in dlbcl patient who are in complet remiss after chopr,['zevalin therapeutic regimen'],['3'],a phase iii openlabel prospective twoarmed multicenter randomized group sequenti studi to evalu the efficaci and safeti of subsequ treatment with the zevalin ibritumomab tiuxetan studi regimen versus observ in patient with diffus larg bcell lymphoma who are in complet remiss after firstlin choprituximab chopr therapi
881,NCT00278421,rituximab and combin chemotherapi in treat patient with nonhodgkin lymphoma,"['cyclophosphamide', 'doxorubicin hydrochloride', 'prednisone', 'vincristine sulfate']",['3'],random studi compar 4 and 6 cycl of chemotherapi with chop cyclophosphamide doxorubicin vincristin and prednisone at 21day intervals both with 6 cycl of immunotherapi with the monoclon anticd20posit bcell lymphoma age 1860 year have no risk factor ageadjust ipi0 and no larg tumor mass diamet 75cm flyer 6664 study
882,NCT00504751,phase ii studi of viper chemotherapi in relref dlbcl,"['bortezomib', 'dexamethasone', 'ifosfamide', 'mesna', 'cisplatin', 'etoposide', 'rituximab']",['2'],phase ii trial of viper chemotherapi in relaps and refractori diffus larg bcell lymphoma nhl
884,NCT01101581,studi of veltuzumab and 90yepratuzumab in relapsedrefractory aggress nhl,"['veltuzumab', '90y', '90y-epratuzumab tetraxetan', 'veltuzumab']","['1', '2']",phase iii studi of veltuzumab combin with 90yepratuzumab tetraxetan in patient with relapsedrefractory aggress non hodgkin lymphoma
885,NCT01393756,revlimid dose 25 mg in associ with rchop in the treatment follicular lymphoma,"['lenalidomide', 'r']",['2'],a phase ibii studi of escal dose of revlimid in associ with rchop r2chop in the treatment of bcell lymphoma
886,NCT00361621,ph ii chopvelcad in mediastin lbcl,"['bortezomib', 'rituximab', 'cyclophosphamide', 'doxorubicin', 'vincristine', 'prednisone']",['2'],phase ii studi of choprituxan plus velcad in mediastin larg bcell lymphoma
887,NCT01276717,studi of carfilzomib and vorinostat for relaps or refractori lymphoma,"['drug', 'vorinostat']",['1'],phase i trial of carfilzomib pr171 in combin with vorinostat saha in patient with relapsedrefractori bcell lymphoma
890,NCT01210287,incid of hepat b virus hbv reactiv in hbsag negativehbcab posit lymphoma patient treat with rchop,['nucleoside analog reverse transcriptase inhibitor'],"['2', '3']",incid of hbv reactiv in hbsag negativehbcab posit diffus larg b cell lymphoma or high grade follicular lymphoma patients a prospect studi
891,NCT01421667,a studi of brentuximab vedotin in relaps or refractori nonhodgkin lymphoma,"['brentuximab vedotin', 'rituximab']",['2'],a phase 2 studi of brentuximab vedotin in relaps or refractori nonhodgkin lymphoma nhl
897,NCT00450385,gene in predict outcom of patient with dlbcl treat with rituximab and combin chemotherapi rchop,"['rituximab', 'cyclophosphamide', 'doxorubicin', 'prednisone', 'vincristine']",['2'],phase ii studi to establish gene express model predict surviv of diffus larg bcell lymphoma patient treat with rchop
898,NCT01403636,a studi of investig sar245409 in patient with certain lymphoma or leukemia,['sar245409'],['2'],a phase 2 studi of sar245409 in patient with relaps or refractori mantl cell lymphoma follicular lymphoma chronic lymphocyt leukemiasmal lymphocyt lymphoma or diffus larg b cell lymphoma
899,NCT01987505,mabrella study a studi to evalu the safeti of switch from intraven to subcutan administr of rituximab dure firstlin treatment for lymphoma,['rituximab'],['3'],open label singlearm phase iiib clinic trial to evalu the safeti of switch from intraven rituximab to subcutan rituximab dure first line treatment for cd20 nonhodgkin follicular lymphoma and diffus larg bcell lymphoma
900,NCT00002757,titleless intens therapi for children with nonhodgkin lymphoma,"['cyclophosphamide', 'cytarabine', 'doxorubicin hydrochloride', 'etoposide', 'methotrexate', 'prednisolone', 'prednisone', 'therapeutic hydrocortisone', 'vincristine sulfate']",['3'],fab lmb 96  treatment of matur bcell lymphomaleukemia a sfop lmb 96ccg 5961ukccsg nhl 9600 cooper studi
901,NCT00039195,chemotherapi and rituximab with or without totalbodi irradi and peripher stem cell transplant in treat patient with lymphoma,"['carboplatin', 'cyclophosphamide', 'doxorubicin hydrochloride', 'etoposide', 'ifosfamide', 'prednisone', 'vincristine sulfate']",['2'],riskadapt therapi for patient with untreat ageadjust intern prognost index ii or iii diffus larg b cell lymphoma
902,NCT00472056,rituximab in addit to autolog transplant with beam for patient with lymphoid malign,"['carmustine', 'etoposide', 'cytarabine', 'melphalan', 'rituximab']",['2'],random trial use standard dose versus high dose rituximab in addit to autolog transplant with beam for patient with diffus larg b cell lymphoma
903,NCT00054171,photodynam therapi in treat patient with lymphoma or chronic lymphocyt leukemia,['aminolevulinic acid hydrochloride'],['2'],a pilot studi of short 125 h medium 46 h and long 1824 h applic of 20 topic alapdt for photodynam therapi of cutan t and b cell lymphoma and cutan infiltr of earli cll
904,NCT00451178,an studi of patient with lymphoma who take rchop and enzastaurin compar to patient who take rchop onli,"['enzastaurin', 'rituximab', 'cyclophosphamide', 'doxorubicin', 'vincristine', 'prednisone']",['2'],an openlabel randomized phase 2 studi of rchop plus enzastaurin versus rchop in the firstlin treatment of patient with intermedi and highrisk diffus larg bcell lymphoma
905,NCT00902018,eltrombopag and the bclextralarg xl pathway in idiopath thrombocytopen purpura itp,['promacta '],['2'],the effect of eltrombopag on platelet survival the role of the bcell lymphoma extra larg bclxl pathway
907,NCT00004197,vaccin therapi plus sargramostim follow chemotherapi in treat patient with previous untreat aggress nonhodgkin lymphoma,"['cyclophosphamide', 'doxorubicin hydrochloride', 'mitoxantrone hydrochloride', 'prednisone', 'vincristine sulfate']",['2'],a phase ii trial to evalu the rate of immun respons use idiotyp immunotherapi produc by molecular biolog mean for treatment of aggress b cell lymphoma
908,NCT00493454,ibritumomab tiuxetan for treatment of nonfollicular cd20 indol lymphoma,"['zevalin', 'rituximab']",['2'],multicent phase ii studi for zevalin® in patient with relapsedrefractori indol lymphomas extranod margin lymphoma of malt type nodal margin zone bcell lymphoma and splenic margin bcell lymphoma
909,NCT00387959,chemotherapy radiat therapy rituximab and umbil cord blood transplant in treat patient with bcell nonhodgkin lymphoma,"['cyclophosphamide', 'cyclosporine', 'fludarabine phosphate', 'mycophenolate mofetil']",['2'],a nonmyeloabl condit regimen with peritranspl rituximab and the transplant of unrel donor umbil cord blood in patient with b cell lymphoid malign
910,NCT02597387,clinic trial of mitoxantron hcl liposom inject in patient with relaps dlbcl and ptnkcls,['mitoxantrone hcl liposome injection'],['2'],a singlearm open multicent phase ii clinic trial of mitoxantron hcl liposom inject in subject with relaps diffus larg bcell lymphoma and and peripher tnk lymphoma
912,NCT00425802,chemotherapy totalbodi irradiation rituximab and donor stem cell transplant in treat patient with bcell nonhodgkin lymphoma or chronic lymphocyt leukemia,"['cyclophosphamide', 'cyclosporine', 'fludarabine phosphate', 'mycophenolate mofetil']",['2'],a nonmyeloabl condit regimen with peritranspl rituximab and the transplant of hematopoiet stem cell from hlacompat relat or unrel donor in patient with b cell lymphoid malign
914,NCT00644371,allogen stem cell transplant sct with nonmyeloabl condit in patient with relaps nonhodgkin lymphoma nhl,['ibritumomab tiuxetan '],['2'],allogen transplant of haematopoiet stem cell follow nonmyeloabl condit with melphalan fludarabine thiotepa rituximab and ibritumomab tiuxetan zevalin in patient with aggress nonhodgkin bcell lymphoma
916,NCT01325194,chemoimmunotherapi with earli central nervous system cns prophylaxi,['liposomal cytarabine'],['2'],dose densifi chemoimmunotherapi with earli cns prophylaxi in patient less than 65 year with high risk aaipi≥ 2 diffus larg bcell lymphoma
918,NCT00265928,bortezomib and rituximab in treat patient with relaps or refractori bcell nonhodgkin lymphoma,"['bortezomib', 'rituximab']",['2'],velcad bortezomib for inject  phase ii studi of bortezomib and rituximab in relaps or refractori nonhodgkin lymphoma
921,NCT00003963,chemotherapi and monoclon antibodi therapi in treat patient with bcell nonhodgkin lymphoma that has relaps follow peripher stem cell transplant,['vinorelbine ditartrate'],['2'],treatment of bcell nhl relaps after transplant with a rituxan vinorelbin combin
922,NCT00004039,combin chemotherapi plus interferon alfa or rituximab in treat patient with stage iii or stage iv lymphoma,"['cyclophosphamide', 'doxorubicin hydrochloride', 'prednisone', 'vincristine sulfate']",['2'],phase ii trial of chop chemotherapi and interferon alpha or rituximab anticd20 monoclon antibodi as initi treatment of patient with stage iii and iv highrisk indol bcell lymphoma and intermedi grade bcell lymphoma
924,NCT00003397,peripher stem cell transplant plus combin chemotherapi and monoclon antibodi therapi in treat patient with nonhodgkin lymphoma,"['carmustine', 'cisplatin', 'cyclophosphamide', 'dexamethasone', 'etoposide', 'gemcitabine hydrochloride', 'melphalan', 'paclitaxel']",['2'],autolog stem cell transplant for poor prognosis relapsed or refractori intermediatehigh grade bcell lymphoma use gemcitabin plus high dose bcnu and melphalan follow by anticd20 moab idec c2b8 rituximab rituxan and consolid chemotherapi
925,NCT02481310,combin chemotherapy rituximab and ixazomib citrat in treat patient with nonhodgkin lymphoma,"['cyclophosphamide', 'cytarabine', 'doxorubicin hydrochloride', 'etoposide', 'ixazomib citrate', 'methotrexate', 'prednisone', 'therapeutic hydrocortisone', 'vincristine sulfate']","['1', '2']",a phase iii trial of daepochr plus ixazomib as frontlin therapi for patient with mycaberr lymphoid malignancies the daciphor regimen
926,NCT00080847,s0349 rituximab cyclophosphamide doxorubicin vincristine and prednison with or without oblimersen in treat patient with advanc diffus larg bcell nonhodgkin lymphoma,"['cyclophosphamide', 'doxorubicin hydrochloride', 'vincristine sulfate', 'prednisone']",['2'],standard dose cyclophosphamide doxorubicin vincristine prednison chop and rituximab or rituximab and g3139 phosphorothio oligonucleotid bcl2 antisens  nsc683428 therapi for young patient  age 60 with advanc stage diffus larg bcell nhl of low and lowintermedi ipi risk
927,NCT01318317,genet engin lymphocyt therapi after peripher blood stem cell transplant in treat patient with highrisk intermediategrade bcell nonhodgkin lymphoma,['plerixafor'],"['1', '2']",phase iii studi of cellular immunotherapi use central memoryenrich cd8 t cell lentivir transduc to express a cd19specif chimer immunoreceptor follow peripher blood stem cell transplant for patient with highrisk intermedi grade blineag nonhodgkin lymphoma
928,NCT01713582,a dosefind studi of the bromodomain brd inhibitor otx015mk8628 in hematolog malign mk8628001,['otx015'],['1'],a phase i dosefind studi of the bromodomain brd inhibitor otx015mk8628 in haematolog malign
929,NCT00080886,rituximab and carmustine cytarabine etoposide and melphalan follow by autolog hematopoiet stem cell transplant in treat patient with bcell nonhodgkin lymphoma,"['carmustine', 'cytarabine', 'etoposide', 'melphalan']",['2'],a phase ii trial of beamrituximabautolog hematopoiet stem cell transplant ahsct for patient with cd20 posit nonhodgkin lymphoma
930,NCT01796470,entospletinib in combin with idelalisib in adult with relaps or refractori hematolog malign,"['entospletinib', 'idelalisib']",['2'],a phase 2 openlabel studi evalu the efficacy safety tolerability and pharmacodynam of gs9973 in combin with idelalisib in subject with relaps or refractori hematolog malign
932,NCT00004031,swog9704 chemoradiotherapi and peripher stem cell transplant compar with combin chemotherapi in treat patient with nonhodgkin lymphoma,"['chop regimen', 'carmustine', 'cyclophosphamide', 'doxorubicin hydrochloride', 'etoposide', 'prednisone', 'vincristine sulfate']",['3'],swog9704 a random phase iii trial compar earli high dose chemoradiotherapi and an autolog stem cell transplant to convent dose chop chemotherapi plus rituximab for cd20 b cell lymphoma with possibl late autolog stem cell transplant for patient with diffus aggress nonhodgkin lymphoma in the highintermedi and high risk intern classif prognost group
937,NCT02732275,a phase 1 multipl ascend dose studi of ds3201b in japanes subject with lymphoma,['ds-3201b'],['1'],a phase 1 multipl ascend dose studi of ds3201b in japanes subject with lymphoma
938,NCT00002682,antibiot therapi and antacid in patient with malt lymphoma of the stomach,"['amoxicillin', 'bismuth subsalicylate', 'clarithromycin', 'metronidazole hydrochloride', 'omeprazole', 'tetracycline hydrochloride']",['2'],current practic studi of antibiot treatment of gastric malt lymphoma
944,NCT00022555,bryostatin 1 plus vincristin in treat patient with recurr or refractori hivrel lymphoma,"['bryostatin 1', 'vincristine sulfate']",['1'],a phase i trial of combin bryostatin1 and vincristin in hivrel bcell neoplasm
945,NCT00491491,zevalinbeam for aggress lymphoma,['ibritumomab tiuxetan'],['3'],spinoza  שפינוזה studi with preparatori induct of zevalin in aggress lymphoma a random phase 3 studi of beam versus 90yttrium ibritumomab tiuxetan zevalin  beam in patient requir autolog hematopoiet stem cell transplant asct for relaps diffus larg bcell lymphoma
946,NCT00086944,oblimersen rituximab and combin chemotherapi in treat patient with relaps or refractori aggress nonhodgkin lymphoma,"['ifosfamide', 'carboplatin', 'etoposide']","['1', '2']",a phase iii studi of g3139 genasense in combin with rice chemotherapi in relaps bcell nonhodgkin lymphoma
947,NCT00005601,combin chemotherapi plus rituximab in treat patient with relaps nonhodgkin lymphoma,"['cisplatin', 'cytarabine', 'dexamethasone', 'sargramostim']",['2'],a phase ii trial of cisplatinum cytosin arabinoside dexamethason dhap with rituxan in patient with relaps cd20 bcell nonhodgkin lymphoma
948,NCT01853631,activ tcell express 2nd or 3rd generat cd19specif car advanc bcell nhl all and cll sagan,"['fludarabine', 'cyclophosphamide']",['1'],phase i studi of activ tcell express second or third generat cd19specif chimer antigen receptor for advanc bcell nonhodgkin lymphoma acut lymphocyt leukemia and chronic lymphocyt leukemia sagan
951,NCT00058292,radiolabel monoclon antibodi therapi and highdos chemotherapi follow by autolog peripher stem cell transplant in treat patient with relaps or refractori nonhodgkin lymphoma,"['carmustine', 'cytarabine', 'etoposide', 'melphalan']",['1'],a phase i trial combin idecy2b8 and highdos beam chemotherapi with hematopoiet progenitor cell transplant in patient with relaps or refractori bcell nonhodgkin lymphoma
952,NCT00496873,evalu of the safeti and efficaci of nipent cytoxan and rituxan,"['cytoxan', 'nipent', 'rituxan']",['2'],a singlecenter openlabel studi to evalu the safeti and efficaci of nipent cytoxan and rituxan pcr in the treatment of previous untreat and treated stage iii or iv lowgrad bcell nonhodgkin lymphoma or bulki lymphoma
953,NCT00040950,biolog therapi plus monoclon antibodi therapi in treat patient with relaps or refractori nonhodgkin lymphoma,['agatolimod sodium'],['1'],a multicenter phase i open label two arm nonrandomized doseescalation studi of the safeti and toler of cpg 7909 in patient receiv rituxan for relaps or refractori bcell nonhodgkin lymphoma
954,NCT00389051,a phase i studi of bendamustin hydrochlorid in patient with indol bcell nonhodgkin lymphoma,['bendamustine hydrochloride'],['1'],a multicenter open studi to assess the tolerability pharmacokinet and antitumor effect of bendamustin hydrochlorid syb l0501 90 or 120 mgm2day administ intraven for two day in patient with indol lymphoma
956,NCT00049036,combin chemotherapi and rituximab in treat patient with hivassoci stage i stage ii stage iii or stage iv nonhodgkin lymphoma,"['etoposide', 'doxorubicin hydrochloride', 'vincristine sulfate', 'prednisone', 'cyclophosphamide']",['2'],a random phase ii trial of epoch given either concurr or sequenti with rituximab in patient with intermediate or highgrad hivassoci bcell nonhodgkin lymphoma
957,NCT00726700,pegfilgrastim and combin chemotherapi with or without rituximab in treat older patient with aggress bcell nonhodgkin lymphoma,"['cyclophosphamide', 'doxorubicin hydrochloride', 'prednisone', 'vincristine sulfate']",['2'],random phase ii studi about the applic of pegfilgrastim neulasta at day 2 or day 4 within the treatment in patient with aggress nonhodgkin lymphoma age 61 to 80 year with 6 or 8 cycl of chemotherapi with chop cyclophosphamide doxorubicin vincristin and prednisone at 14day interv chop14 both with or without the monoclon anticd20 antibodi rituximab
958,NCT00006241,peripher stem cell transplant in treat patient with relaps low or intermediategrad nonhodgkin lymphoma,['chemotherapy'],['2'],a pivot studi to determin the safeti and efficaci of use bcell high densiti microparticl bcellhdm to deplet bcell from peripher blood stem cell collect without compromis the time to neutrophil and platelet engraft in patient with relaps low or intermedi grade bcell nonhodgkin lymphoma given autolog peripher blood stem cell transplant after highdos chemotherapi
959,NCT00274924,rituximab and combin chemotherapi in treat patient with stage ii stage iii or stage iv diffus larg bcell nonhodgkin lymphoma,"['carboplatin', 'cyclophosphamide', 'doxorubicin hydrochloride', 'etoposide', 'ifosfamide', 'prednisone', 'vincristine']",['2'],responseadapt therapi for aggress nonhodgkin lymphoma base on earli 18f fdgpet scan
960,NCT00026351,pentostatin and rituximab in treat patient with lowgrad nonhodgkin lymphoma or chronic lymphocyt leukemia,['pentostatin'],['2'],phase ii multicent trial of pentostatin and rituximab in patient with previous treat and untreat low grade bcell nonhodgkin lymphoma nhl includ chronic lymphocyt leukemia cll
965,NCT01804686,a longterm extens studi of pci32765 ibrutinib,['pci-32765 '],['3'],a phase 3b multicenter openlabel pci32765 ibrutinib longterm extens studi
967,NCT02580552,safety toler and pharmacokinet of mrg106 in patient with mycosi fungoid mf cll dlbcl or atll,['mrg-106'],['1'],a phase 1 doserang studi to investig the safety tolerability and pharmacokinet of mrg106 follow local intratumoral subcutaneous and intraven administr in subject with various lymphoma and leukemia
970,NCT01722305,pomalidomid and dexamethason in treat patient with relaps or refractori primari central nervous system lymphoma or newli diagnos or relaps or refractori intraocular lymphoma,"['dexamethasone', 'pomalidomide']",['1'],phase i trial of pomalidomid for patient with relapsedrefractori primari cns lymphoma and primari vitreoretin lymphoma
972,NCT02342665,japanes phase ibii copanlisib in relapsed indol bcell nhl,['copanlisib '],"['1', '2']",openlabel uncontrolled singlearm phase ibii studi of intraven copanlisib in japanes patient with indol bcell non hodgkin lymphoma relaps after or refractori to standard therapi
973,NCT01281917,studi of velcad and temsirolimus for relaps or refractori nonhodgkin lymphoma,"['velcade', 'temsirolimus']",['2'],a phase ii studi of velcad and temsirolimus for relaps or refractori bcell nonhodgkin lymphoma
974,NCT01939327,safeti and efficaci of revlimid® lenalidomide with mabthera® rituximab in nonhodgkin lymphoma,['lenalidomide'],['2'],a phase ii singlearm openlabel studi to evalu the safeti and efficaci of combin lenalidomid revlimid® with rituximab in subjet with relaps or refractori diffus larg b cell nonhodgkin lymphoma
976,NCT01729104,phase iii carfilzomib plus lenalidomid and rituximab in the treatment of relapsedrefractori mantl cell lymphoma,"['carfilzomib', 'lenalidomide', 'rituximab']","['1', '2']",a phase iii studi of carfilzomib plus lenalidomid and rituximab in the treatment of relapsedrefractori bcell nonhodgkin lymphoma
977,NCT00077961,rituximab plus campath in patient with relapsedrefractori lowgrad or follicular cd20positive bcell nhl,['campath '],"['1', '2']",phase iii studi of rituximab plus campath in patient with previous treat relaps or refractori lowgrad follicular cd20positive bcell nonhodgkin lymphoma
980,NCT00055640,molecular risk assess in plan treatment for patient with nonhodgkin lymphoma,"['cyclophosphamide', 'doxorubicin hydrochloride', 'prednisone', 'vincristine sulfate']",['2'],molecular risk guid treatment of diffus larg bcell nonhodgkin lymphoma
983,NCT01868035,iodine131 antib1 antibodi consolid for patient with nonhodgkin lymphoma follow firstlin chop,"['tositumomab', 'iodine i']",['2'],phase ii multicent studi of iodine131 antib1 antibodi consolid for patient with diffus larg bcell nonhodgkin lymphoma follow firstlin chop
985,NCT02594384,a phase i dose escal studi of the safeti and pharmacokinet of lam002a in patient with nonhodgkin lymphoma lam002anhl,"['lam-002a', 'rituximab', 'atezolizumab']",['1'],a phase 1 dose escal studi of the safeti and pharmacokinet of lam002a apilimod dimesyl capsules administ oral in subject with relaps or refractori bcell nonhodgkin lymphoma
986,NCT00024115,bl22 immunotoxin in treat patient with nonhodgkin lymphoma or chronic lymphocyt leukemia,['bl22 immunotoxin'],['1'],phase i studi of recombin bl22 immunotoxin in patient with cd22posit bcell nonhodgkin lymphoma or chronic lymphocyt leukemia
987,NCT00546377,pentostatin cyclophosphamide rituximab and mitoxantron in treat patient with chronic lymphocyt leukemia or other lowgrad bcell cancer,"['cyclophosphamide', 'mitoxantrone hydrochloride', 'pentostatin']","['1', '2']",a phase iii studi of pentostatin cyclophosphamide rituximab and mitoxantron in previous treat patient with chronic lymphocyt leukemia and other low grade bcell neoplasm
988,NCT02500407,a safeti and pharmacokinet studi of btct4465a mosunetuzumab as a singl agent and combin with atezolizumab in nonhodgkin lymphoma nhl and chronic lymphocyt leukemia cll,"['btct4465a ', 'atezolizumab', 'btct4465a ']",['1'],an openlabel multicenter phase iib trial evalu the safeti and pharmacokinet of escal dose of btct4465a as a singl agent and combin with atezolizumab in patient with relaps or refractori bcell nonhodgkin lymphoma and chronic lymphocyt leukemia
