"Rank","NCT Number","Title","Acronym","Status","Study Results","Interventions","Phases","Results First Posted","URL"
1002,"NCT03474744","Copanlisib and Rituximab in Marginal Zone Lymphoma Patients",,"Not yet recruiting","No Results Available","Drug: Copanlisib","Phase 2","null","https://ClinicalTrials.gov/show/NCT03474744"
1003,"NCT03322865","Obinutuzumab in Marginal Zone Lymphoma",,"Not yet recruiting","No Results Available","Drug: Obinutuzumab","Phase 2","null","https://ClinicalTrials.gov/show/NCT03322865"
1004,"NCT03697512","MALIBU Trial - Combination of Ibrutinib and Rituximab in Untreated Marginal Zone Lymphomas","MALIBU","Not yet recruiting","No Results Available","Drug: Ibrutinib|Drug: Rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT03697512"
1005,"NCT01007292","A Study of YM155 Plus Rituximab in Subjects With Non-Hodgkin's Lymphoma Who Have Received Prior Treatment",,"Completed","No Results Available","Drug: YM155|Biological: Rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT01007292"
1006,"NCT01848652","Phase II Study Evaluating a Combination of Pegylated Liposomal Doxorubicin and Dexamethasone for the Treatment of Immunocompetent Patients With Cerebral Lymphoma Relapsed or Refractory to First-line Chemotherapy With High Dose Methotrexate (MTXHD) and / or High-dose Cytarabine.","MYLY","Terminated","No Results Available","Drug: infusion of MYOCET","Phase 2","null","https://ClinicalTrials.gov/show/NCT01848652"
1007,"NCT02568553","Lenalidomide and Blinatumomab in Treating Patients With Relapsed Non-Hodgkin Lymphoma",,"Recruiting","No Results Available","Biological: Blinatumomab|Other: Laboratory Biomarker Analysis|Drug: Lenalidomide","Phase 1","null","https://ClinicalTrials.gov/show/NCT02568553"
1008,"NCT02142530","Carfilzomib Plus Belinostat in Relapsed/Refractory NHL",,"Completed","No Results Available","Drug: Carfilzomib|Drug: Belinostat","Phase 1","null","https://ClinicalTrials.gov/show/NCT02142530"
1009,"NCT00006695","Monoclonal Antibody Therapy, Combination Chemotherapy, and Peripheral Stem Cell Transplant in Treating Patients With Relapsed or Refractory Non-Hodgkin's Lymphoma",,"Completed","No Results Available","Drug: carmustine|Drug: cytarabine|Drug: etoposide|Drug: melphalan|Procedure: peripheral blood stem cell transplantation|Radiation: tositumomab and iodine I 131 tositumomab","Phase 2","null","https://ClinicalTrials.gov/show/NCT00006695"
1010,"NCT00042913","Epratuzumab in Treating Patients With Non-Hodgkin's Lymphoma",,"Unknown status","No Results Available","Biological: epratuzumab","Phase 2","null","https://ClinicalTrials.gov/show/NCT00042913"
1011,"NCT01206777","Feasibility Study of a 60 Minute Rapid Infusion Rituximab Protocol in Patients With B-cell Malignancies",,"Completed","Has Results","Drug: Rituximab","Phase 2","February 23, 2015","https://ClinicalTrials.gov/show/NCT01206777"
1012,"NCT00062114","Yttrium Y 90 Ibritumomab Tiuxetan and Rituximab in Treating Patients With Non-Hodgkin's Lymphoma",,"Completed","No Results Available","Biological: rituximab|Radiation: yttrium Y 90 ibritumomab tiuxetan","Phase 2","null","https://ClinicalTrials.gov/show/NCT00062114"
1013,"NCT00032019","Combination Chemotherapy and Monoclonal Antibody Therapy in Treating Patients With Non-Hodgkin's Lymphoma",,"Completed","No Results Available","Biological: filgrastim|Biological: rituximab|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: prednisone|Drug: vincristine sulfate","Phase 2","null","https://ClinicalTrials.gov/show/NCT00032019"
1014,"NCT02987127","Prospective Study of Frontline H Pylori Eradication in the Treatment of Early-stage Extragastric MALT Lymphoma",,"Recruiting","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT02987127"
1015,"NCT03031483","Clarithromycin + Lenalidomide Combination: a Full Oral Treatment for Patients With Relapsed/Refractory Extranodal Marginal Zone Lymphoma",,"Recruiting","No Results Available","Drug: clarithromycin and lenalidomide","Phase 2","null","https://ClinicalTrials.gov/show/NCT03031483"
1016,"NCT03211065","Humoral Immunodeficiency With Rituximab and Therapy With Subcutaneous Ig",,"Active, not recruiting","No Results Available","Drug: 20% subcutaneous immunoglobulin","Phase 2|Phase 3","null","https://ClinicalTrials.gov/show/NCT03211065"
1017,"NCT00089115","Vaccine Therapy and Sargramostim Compared With Placebo and Sargramostim Following Rituximab in Treating Patients With Non-Hodgkin's Lymphoma",,"Terminated","No Results Available","Biological: autologous immunoglobulin idiotype-KLH conjugate vaccine|Biological: rituximab|Biological: sargramostim","Phase 3","null","https://ClinicalTrials.gov/show/NCT00089115"
1018,"NCT00022685","Epratuzumab in Treating Patients With Non-Hodgkin's Lymphoma",,"Unknown status","No Results Available","Biological: epratuzumab","Phase 3","null","https://ClinicalTrials.gov/show/NCT00022685"
1019,"NCT01410513","Study Combining SAR245409 With Rituximab or Bendamustine Plus Rituximab in Patients With Indolent Lymphoma, Mantle Cell Lymphoma and Chronic Lymphocytic Leukemia",,"Completed","No Results Available","Drug: SAR245409","Phase 1","null","https://ClinicalTrials.gov/show/NCT01410513"
1020,"NCT00022932","Safety and Efficacy of Iodine-131 Anti-B1 Antibody for Intermediate Grade Non-Hodgkin's Lymphoma Following First Line CHOP",,"Unknown status","No Results Available","Drug: Iodine-131 Anti-B1 Antibody","Phase 2","null","https://ClinicalTrials.gov/show/NCT00022932"
1021,"NCT00347971","Study of Recombinant Interleukin 21 in Combination With Rituxan for Non-Hodgkin's Lymphoma",,"Completed","No Results Available","Drug: recombinant human interleukin 21 and rituximab","Phase 1","null","https://ClinicalTrials.gov/show/NCT00347971"
1022,"NCT03288415","SMZL Molecular Prognostic Index",,"Recruiting","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT03288415"
1023,"NCT00562978","Yttrium Y 90 Ibritumomab Tiuxetan, Etoposide, Cyclophosphamide, and an Autologous Stem Cell Transplant in Treating Patients With Non-Hodgkin Lymphoma",,"Completed","No Results Available","Biological: filgrastim|Drug: cyclophosphamide|Drug: etoposide|Procedure: autologous hematopoietic stem cell transplantation|Procedure: peripheral blood stem cell transplantation|Radiation: yttrium Y 90 ibritumomab tiuxetan","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT00562978"
1024,"NCT02945319","Integrated Molecular and Clinical Profiling to Optimize Outcome Prediction in Splenic Marginal Zone Lymphoma",,"Not yet recruiting","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT02945319"
1025,"NCT00022971","Combination Antibody Therapy for Relapsed Lymphoma and Chronic Lymphocytic Leukemia",,"Terminated","No Results Available","Biological: Apolizumab|Biological: Rituximab","Phase 1","null","https://ClinicalTrials.gov/show/NCT00022971"
1026,"NCT00517049","A Study of PRO95780 in Combination With Rituximab in Patients With Non-Hodgkin's Lymphoma That Has Progressed Following Previous Rituximab Therapy (APM4083g)",,"Completed","No Results Available","Drug: PRO95780|Drug: rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT00517049"
1027,"NCT00064116","Combination Chemotherapy With or Without Rituximab in Treating Patients With Non-Hodgkin's Lymphoma",,"Completed","No Results Available","Biological: rituximab|Drug: CHOP regimen","Phase 3","null","https://ClinicalTrials.gov/show/NCT00064116"
1028,"NCT00006708","S0019 Combination Chemotherapy With or Without Rituximab in Treating Patients With Relapsed or Refractory Non-Hodgkin's Lymphoma",,"Terminated","No Results Available","Biological: filgrastim|Biological: rituximab|Drug: carboplatin|Drug: etoposide|Drug: ifosfamide","Phase 3","null","https://ClinicalTrials.gov/show/NCT00006708"
1029,"NCT01820910","Phase II Trial of First-line Doxycycline for Ocular Adnexal Marginal Zone Lymphoma Treatment",,"Active, not recruiting","No Results Available","Drug: Doxycycline","Phase 2","null","https://ClinicalTrials.gov/show/NCT01820910"
1030,"NCT00562965","Study Comparing Inotuzumab Ozogamicin In Combination With Rituximab Versus Defined Investigator's Choice In Follicular Non-Hodgkin's Lymphoma (NHL)",,"Terminated","Has Results","Drug: inotuzumab ozogamicin|Drug: rituximab|Drug: cyclophosphamide|Drug: vincristine|Drug: prednisone/prednisolone|Drug: mitoxantrone|Drug: fludarabine|Drug: dexamethasone","Phase 3","January 9, 2018","https://ClinicalTrials.gov/show/NCT00562965"
1031,"NCT01516606","Salvage Therapy With High Dose Oral Clarithromycin in Relapsed or Refractory Extranodal Marginal Zone Lymphoma","HD-K","Unknown status","No Results Available","Drug: clarithromycin, oral, high dose","Phase 2","null","https://ClinicalTrials.gov/show/NCT01516606"
1032,"NCT01427114","R-CVP for the Treatment of Non-conjunctival Ocular Adnexal MALT Lymphoma (OAML)",,"Active, not recruiting","No Results Available","Drug: rituximab, cyclophosphamide, vincristine, and prednisolone","Phase 2","null","https://ClinicalTrials.gov/show/NCT01427114"
1033,"NCT01514344","Intralesional Rituximab for the Treatment of Conjunctival Indolent Lymphoma","IRIS","Unknown status","No Results Available","Drug: intralesional rituximab|Biological: supplemental autologous serum","Phase 2","null","https://ClinicalTrials.gov/show/NCT01514344"
1034,"NCT02393157","Obinutuzumab and ICE Chemotherapy in Refractory/Recurrent CD20+ Mature NHL","O-ICE","Recruiting","No Results Available","Drug: Obinutuzumab|Drug: Liposomal ARA-C|Drug: Ifosfamide|Drug: Carboplatin|Drug: Etoposide","Phase 2","null","https://ClinicalTrials.gov/show/NCT02393157"
1035,"NCT00012051","Chemotherapy and Peripheral Stem Cell Transplant With or Without Monoclonal Antibody Therapy in Treating Patients With Non-Hodgkin's Lymphoma",,"Completed","No Results Available","Biological: filgrastim|Biological: rituximab|Drug: carmustine|Drug: cisplatin|Drug: cytarabine|Drug: dexamethasone|Drug: etoposide|Drug: ifosfamide|Drug: melphalan|Drug: methotrexate|Procedure: bone marrow ablation with stem cell support|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","Phase 3","null","https://ClinicalTrials.gov/show/NCT00012051"
1036,"NCT00923663","Trial of Lenalidomide in Patients With Lymphoma of the Mucosa Associated Lymphoid Tissue (MALT) Type",,"Unknown status","No Results Available","Drug: Lenalidomide","Phase 2","null","https://ClinicalTrials.gov/show/NCT00923663"
1037,"NCT03583424","Venetoclax, Carmustine, Etoposide, Cytarabine, and Melphalan Before Stem Cell Transplant in Treating Participants With Relapsed or Refractory Non-Hodgkin Lymphoma",,"Recruiting","No Results Available","Drug: Carmustine|Drug: Cytarabine|Drug: Etoposide|Procedure: Hematopoietic Cell Transplantation|Drug: Melphalan|Drug: Venetoclax","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT03583424"
1038,"NCT01015248","Trial of Bendamustine And Rituximab for Patients With Previously Untreated Extranodal Mucosa-Associated Lymphoid Tissue (MALT) Lymphoma",,"Completed","No Results Available","Drug: Rituximab and Bendamustine","Phase 2","null","https://ClinicalTrials.gov/show/NCT01015248"
1039,"NCT00400764","A Study of Dulanermin in Combination With Rituximab in Subjects With Follicular and Other Low Grade, CD20+, Non-Hodgkin's Lymphomas",,"Terminated","Has Results","Drug: Dulanermin|Drug: Rituximab","Phase 1|Phase 2","October 7, 2011","https://ClinicalTrials.gov/show/NCT00400764"
1040,"NCT01302912","Lymphoma in the Orbit",,"Unknown status","No Results Available","Procedure: Lymphoma-Biopsy","","null","https://ClinicalTrials.gov/show/NCT01302912"
1041,"NCT01842672","Mitoxantrone and Clofarabine for Treatment of Recurrent NHL or Acute Leukemia","MITCL","Recruiting","No Results Available","Drug: Clofarabine|Drug: Mitoxantrone","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT01842672"
1042,"NCT03229200","Extended Treatment Protocol for Subjects Continuing to Benefit From Ibrutinib.",,"Enrolling by invitation","No Results Available","Drug: Ibrutinib","Phase 4","null","https://ClinicalTrials.gov/show/NCT03229200"
1043,"NCT01799889","Entospletinib in Adults With Relapsed or Refractory Hematologic Malignancies",,"Active, not recruiting","No Results Available","Drug: Entospletinib|Drug: Entospletinib SDD","Phase 2","null","https://ClinicalTrials.gov/show/NCT01799889"
1044,"NCT03226704","Leukapheresis for CAR-Therapy Manufacturing",,"Recruiting","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT03226704"
1045,"NCT00656812","Rituximab Plus 2CdA in Patients With Advanced or Relapsed Mucosa Associated Lymphoid Tissue (MALT) Lymphoma",,"Completed","No Results Available","Drug: Rituximab|Drug: 2-CdA","Phase 2","null","https://ClinicalTrials.gov/show/NCT00656812"
1046,"NCT00244855","Rituximab and Dexamethasone in Treating Patients With Low-Grade Non-Hodgkin Lymphoma",,"Completed","Has Results","Other: pharmacological study|Biological: rituximab|Drug: dexamethasone|Other: laboratory biomarker analysis","Phase 2","May 22, 2017","https://ClinicalTrials.gov/show/NCT00244855"
1047,"NCT00453102","Yttrium Y 90 Ibritumomab Tiuxetan and Rituximab in Treating Patients With Previously Untreated Marginal Zone Lymphoma",,"Completed","Has Results","Drug: Rituximab|Drug: Ibritumomab Tiuxetan","Phase 2","January 1, 2016","https://ClinicalTrials.gov/show/NCT00453102"
1048,"NCT00373646","Thalidomide in Mucosa Associated Lymphoid Tissue (MALT) Lymphoma Patients",,"Completed","No Results Available","Drug: Thalidomide, Pharmion","Phase 2","null","https://ClinicalTrials.gov/show/NCT00373646"
1049,"NCT00377195","Involved Field Radiotherapy for Non-gastric Marginal Zone Lymphoma",,"Active, not recruiting","No Results Available","Radiation: Involved Field Radiotherapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT00377195"
1050,"NCT02701517","Cyclosporine Plus Methotrexate or Alemtuzumab",,"Terminated","No Results Available","Drug: Cyclosporine + METHOTREXATE|Drug: Cyclosporine + CAMPATH-1H","Phase 2","null","https://ClinicalTrials.gov/show/NCT02701517"
1051,"NCT01815749","Genetically Modified T-cell Infusion Following Peripheral Blood Stem Cell Transplant in Treating Patients With Recurrent or High-Risk Non-Hodgkin Lymphoma",,"Active, not recruiting","No Results Available","Biological: autologous CD19CAR-CD28-CD3zeta-EGFRt-expressing Tcm-enriched T cells|Procedure: autologous hematopoietic stem cell transplantation|Other: laboratory biomarker analysis","Phase 1","null","https://ClinicalTrials.gov/show/NCT01815749"
1052,"NCT01238146","Obatoclax Mesylate, Rituximab, and Bendamustine Hydrochloride in Treating Patients With Relapsed or Refractory Non-Hodgkin Lymphoma",,"Withdrawn","No Results Available","Drug: bendamustine hydrochloride|Drug: obatoclax mesylate|Biological: rituximab","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT01238146"
1053,"NCT00006383","Liposomal Vincristine in Treating Patients With Refractory or Relapsed Non-Hodgkin's Lymphoma",,"Completed","No Results Available","Drug: liposomal vincristine sulfate","Phase 2","null","https://ClinicalTrials.gov/show/NCT00006383"
1054,"NCT00992446","Bortezomib and Vorinostat as Maintenance Therapy After Autologous Stem Cell Transplant in Treating Patients With Non-Hodgkin Lymphoma",,"Completed","Has Results","Procedure: Autologous Hematopoietic Stem Cell Transplantation|Drug: Bortezomib|Drug: Carmustine|Drug: Cytarabine|Drug: Etoposide|Drug: Melphalan|Drug: Rituximab|Drug: Vorinostat","Phase 2","May 10, 2017","https://ClinicalTrials.gov/show/NCT00992446"
1055,"NCT01285765","Evaluate a Treatment Adapted to the PET Response Compared to a Standard Treatment, for Low Risk DLBCL CD 20+ Patients",,"Active, not recruiting","No Results Available","Drug: RCHOP21","Phase 3","null","https://ClinicalTrials.gov/show/NCT01285765"
1056,"NCT02037256","Bortezomib and Filgrastim in Promoting Stem Cell Mobilization in Patients With Non-Hodgkin Lymphoma or Multiple Myeloma Undergoing Stem Cell Transplant",,"Active, not recruiting","No Results Available","Drug: bortezomib|Biological: filgrastim|Procedure: autologous hematopoietic stem cell transplantation","Not Applicable","null","https://ClinicalTrials.gov/show/NCT02037256"
1057,"NCT03162536","Safety, PK, PD, and Antitumor Activity of ARQ 531 in Hematologic Malignancies",,"Recruiting","No Results Available","Drug: ARQ 531","Phase 1","null","https://ClinicalTrials.gov/show/NCT03162536"
1058,"NCT01959477","Dose Monitoring of Busulfan and Combination Chemotherapy in Hodgkin or Non-Hodgkin Lymphoma Undergoing Stem Cell Transplant",,"Completed","No Results Available","Drug: busulfan|Drug: etoposide|Drug: cyclophosphamide|Procedure: peripheral blood stem cell transplantation|Procedure: autologous hematopoietic stem cell transplantation","Early Phase 1","null","https://ClinicalTrials.gov/show/NCT01959477"
1059,"NCT01769222","Ipilimumab and Local Radiation Therapy in Treating Patients With Recurrent Melanoma, Non-Hodgkin Lymphoma, Colon, or Rectal Cancer",,"Terminated","Has Results","Biological: Ipilimumab|Radiation: Radiation therapy","Phase 1|Phase 2","March 3, 2017","https://ClinicalTrials.gov/show/NCT01769222"
1060,"NCT01769911","Genetically Modified Peripheral Blood Stem Cell Transplant in Treating Patients With HIV-Associated Non-Hodgkin or Hodgkin Lymphoma",,"Withdrawn","No Results Available","Drug: carmustine|Drug: cytarabine|Drug: melphalan|Drug: etoposide|Drug: O6-benzylguanine|Procedure: autologous hematopoietic stem cell transplantation|Procedure: peripheral blood stem cell transplantation|Other: laboratory biomarker analysis","Not Applicable","null","https://ClinicalTrials.gov/show/NCT01769911"
1061,"NCT01805037","Brentuximab Vedotin + Rituximab as Frontline Therapy for Pts w/ CD30+ and/or EBV+ Lymphomas",,"Unknown status","No Results Available","Drug: brentuximab vedotin|Biological: rituximab|Other: laboratory biomarker analysis","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT01805037"
1062,"NCT00154440","Helicobacter – Lymphoma – Radiation Part I: Eradication, Part II: Radiation",,"Unknown status","No Results Available","Drug: proton pump inhibitor|Drug: clarithromycin|Drug: amoxicillin|Drug: metronidazole|Procedure: radiation therapy","Phase 3","null","https://ClinicalTrials.gov/show/NCT00154440"
1063,"NCT01314014","Imexon for Relapsed Follicular and Aggressive Lymphomas","ULYM11011","Completed","Has Results","Drug: Imexon","Phase 2","July 1, 2014","https://ClinicalTrials.gov/show/NCT01314014"
1064,"NCT01116154","Vorinostat and Lenalidomide in Treating Patients With Relapsed or Refractory Hodgkin Lymphoma or Non-Hodgkin Lymphoma",,"Terminated","No Results Available","Drug: lenalidomide|Drug: vorinostat|Other: laboratory biomarker analysis","Phase 1","null","https://ClinicalTrials.gov/show/NCT01116154"
1065,"NCT01258998","Study of Akt Inhibitor MK2206 in Patients With Relapsed Lymphoma",,"Completed","Has Results","Drug: Akt inhibitor MK2206|Other: laboratory biomarker analysis","Phase 2","November 10, 2015","https://ClinicalTrials.gov/show/NCT01258998"
1066,"NCT01408043","Etoposide, Filgrastim, and Plerixafor in Improving Stem Cell Mobilization in Treating Patients With Non-Hodgkin Lymphoma",,"Terminated","No Results Available","Drug: plerixafor|Biological: filgrastim|Drug: etoposide|Procedure: leukapheresis","Not Applicable","null","https://ClinicalTrials.gov/show/NCT01408043"
1067,"NCT01129193","AR-42 in Treating Patients With Advanced or Relapsed Multiple Myeloma, Chronic Lymphocytic Leukemia, or Lymphoma",,"Completed","No Results Available","Other: Pharmacodynamic Studies|Other: Fatigue Inventory|Other: Pharmacogenomic studies|Drug: AR-42","Phase 1","null","https://ClinicalTrials.gov/show/NCT01129193"
1068,"NCT01177371","High-Dose Busulfan and High-Dose Cyclophosphamide Followed By Donor Bone Marrow Transplant in Treating Patients With Leukemia, Myelodysplastic Syndrome, Multiple Myeloma, or Recurrent Hodgkin or Non-Hodgkin Lymphoma",,"Completed","No Results Available","Drug: busulfan|Drug: cyclophosphamide|Procedure: allogeneic bone marrow transplantation|Drug: methylprednisolone|Drug: methotrexate|Drug: cyclosporine","Phase 2","null","https://ClinicalTrials.gov/show/NCT01177371"
1069,"NCT00088881","Rituximab, Combination Chemotherapy, and 90-Yttrium Ibritumomab Tiuxetan for Patients With Stage I or II Non-Hodgkin's Lymphoma",,"Terminated","Has Results","Biological: rituximab|Drug: prednisone|Drug: cyclophosphamide|Drug: doxorubicin|Drug: vincristine|Radiation: indium In 111 ibritumomab tiuxetan|Radiation: radiation therapy|Procedure: positron emission tomography","Phase 2","February 18, 2015","https://ClinicalTrials.gov/show/NCT00088881"
1070,"NCT00003196","Low-Dose Total Body Irradiation and Donor Peripheral Blood Stem Cell Transplant Followed by Donor Lymphocyte Infusion in Treating Patients With Non-Hodgkin Lymphoma, Chronic Lymphocytic Leukemia, or Multiple Myeloma",,"Active, not recruiting","No Results Available","Drug: chemotherapy|Radiation: total-body irradiation|Procedure: peripheral blood stem cell transplantation|Drug: cyclosporine|Drug: mycophenolate mofetil|Procedure: allogeneic hematopoietic stem cell transplantation|Biological: therapeutic allogeneic lymphocytes","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00003196"
1071,"NCT03424603","Study of STRO-001, an Anti-CD74 Antibody Drug Conjugate, in Patients With Advanced B-Cell Malignancies",,"Recruiting","No Results Available","Drug: STRO-001","Phase 1","null","https://ClinicalTrials.gov/show/NCT03424603"
1072,"NCT01748721","MORAb-004 in Treating Young Patients With Recurrent or Refractory Solid Tumors or Lymphoma",,"Completed","No Results Available","Biological: anti-endosialin/TEM1 monoclonal antibody MORAb-004|Other: pharmacological study|Other: laboratory biomarker analysis","Phase 1","null","https://ClinicalTrials.gov/show/NCT01748721"
1073,"NCT00601718","Vorinostat, Rituximab, Ifosfamide, Carboplatin, and Etoposide in Treating Patients With Relapsed or Refractory Lymphoma or Previously Untreated T-Cell Non-Hodgkin Lymphoma or Mantle Cell Lymphoma",,"Completed","Has Results","Drug: vorinostat|Biological: rituximab|Drug: ifosfamide|Drug: carboplatin|Drug: etoposide|Other: pharmacological study|Other: laboratory biomarker analysis|Genetic: gene expression analysis","Phase 1|Phase 2","May 25, 2017","https://ClinicalTrials.gov/show/NCT00601718"
1074,"NCT01419795","Lenalidomide With or Without Rituximab in Treating Patients With Progressive or Relapsed Chronic Lymphocytic Leukemia, Small Lymphocytic Lymphoma, Prolymphocytic Leukemia, or Non-Hodgkin Lymphoma Previously Treated With Donor Stem Cell Transplant",,"Terminated","Has Results","Drug: lenalidomide|Biological: rituximab|Other: pharmacological study|Other: laboratory biomarker analysis","Phase 2","March 21, 2017","https://ClinicalTrials.gov/show/NCT01419795"
1075,"NCT00005950","506U78 in Treating Patients With Recurrent or Refractory Non-Hodgkin's Lymphoma or T-cell Lymphoma",,"Terminated","No Results Available","Drug: nelarabine","Phase 2","null","https://ClinicalTrials.gov/show/NCT00005950"
1076,"NCT00499811","Vorinostat in Treating Patients With Metastatic or Unresectable Solid Tumors or Lymphoma and Liver Dysfunction",,"Completed","No Results Available","Drug: vorinostat|Other: pharmacological study","Phase 1","null","https://ClinicalTrials.gov/show/NCT00499811"
1077,"NCT00073918","Iodine I 131 Tositumomab, Etoposide and Cyclophosphamide Followed by Autologous Stem Cell Transplant in Treating Patients With Relapsed or Refractory Non-Hodgkin's Lymphoma",,"Completed","Has Results","Drug: cyclophosphamide|Drug: etoposide|Radiation: iodine I 131 tositumomab|Procedure: quality-of-life assessment|Procedure: peripheral blood stem cell transplantation","Phase 2","January 27, 2017","https://ClinicalTrials.gov/show/NCT00073918"
1078,"NCT03044743","PD-1 Knockout EBV-CTLs for Advanced Stage Epstein-Barr Virus (EBV) Associated Malignancies",,"Recruiting","No Results Available","Drug: Fludarabine|Drug: Cyclophosphamide|Drug: Interleukin-2","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT03044743"
1079,"NCT03479268","Pevonedistat and Ibrutinib in Treating Participants With Relapsed or Refractory Chronic Lymphocytic Leukemia or Non-Hodgkin Lymphoma",,"Recruiting","No Results Available","Drug: Ibrutinib|Other: Laboratory Biomarker Analysis|Drug: Pevonedistat|Other: Pharmacokinetic Study|Other: Pharmacological Study","Phase 1","null","https://ClinicalTrials.gov/show/NCT03479268"
1080,"NCT01110135","Bendamustine Hydrochloride, Etoposide, Dexamethasone, and Filgrastim For Peripheral Blood Stem Cell Mobilization in Treating Patients With Refractory or Recurrent Lymphoma or Multiple Myeloma",,"Completed","Has Results","Drug: bendamustine hydrochloride|Drug: dexamethasone|Biological: filgrastim|Procedure: leukapheresis|Other: laboratory biomarker analysis|Other: flow cytometry|Drug: etoposide","Phase 2","May 24, 2017","https://ClinicalTrials.gov/show/NCT01110135"
1081,"NCT02483000","Anti-CD20 Radioimmunotherapy Before Chemotherapy and Stem Cell Transplant in Treating Patients With High-Risk B-Cell Malignancies",,"Recruiting","No Results Available","Biological: Anti-CD20 B9E9 scFv-Streptavidin Fusion Protein|Procedure: Autologous Hematopoietic Stem Cell Transplantation|Drug: Carmustine|Drug: Clearing Agent|Drug: Cytarabine|Drug: Etoposide|Radiation: Indium In 111-DOTA-Biotin|Other: Laboratory Biomarker Analysis|Drug: Melphalan|Procedure: Peripheral Blood Stem Cell Transplantation|Other: Pharmacological Study|Radiation: Yttrium Y 90-DOTA-Biotin","Phase 1","null","https://ClinicalTrials.gov/show/NCT02483000"
1082,"NCT00860171","Iodine I 131 Monoclonal Antibody BC8 Before Autologous Stem Cell Transplant in Treating Patients With Relapsed or Refractory Hodgkin Lymphoma or Non-Hodgkin Lymphoma",,"Active, not recruiting","Has Results","Procedure: Autologous Hematopoietic Stem Cell Transplantation|Radiation: Iodine I 131 Monoclonal Antibody BC8|Other: Laboratory Biomarker Analysis","Phase 1","October 12, 2017","https://ClinicalTrials.gov/show/NCT00860171"
1083,"NCT03646422","AEDV Registry of Primary Cutaneous Lymphoma",,"Recruiting","No Results Available","Other: Registry of patients (exposure is Cutaneous Lymphoma)","","null","https://ClinicalTrials.gov/show/NCT03646422"
1084,"NCT00769288","FAU in Treating Patients With Advanced Solid Tumors or Lymphoma",,"Completed","No Results Available","Drug: 2'-F-ara-deoxyuridine|Other: positron emission tomography|Other: laboratory biomarker analysis|Other: pharmacological study|Other: pharmacogenomic studies","Phase 1","null","https://ClinicalTrials.gov/show/NCT00769288"
1085,"NCT02153580","Cellular Immunotherapy Following Chemotherapy in Treating Patients With Recurrent Non-Hodgkin Lymphomas, Chronic Lymphocytic Leukemia or B-Cell Prolymphocytic Leukemia",,"Recruiting","No Results Available","Drug: cyclophosphamide|Other: laboratory biomarker analysis|Drug: Bendamustine Hydrochloride|Drug: Etoposide|Drug: Fludarabine Phosphate|Biological: Autologous CD19CAR-CD28-CD3zeta-EGFRt-expressing Tn/mem-enriched T-lymphocytes","Phase 1","null","https://ClinicalTrials.gov/show/NCT02153580"
1086,"NCT01523223","Donor Peripheral Stem Cell Transplant in Treating Patients With Hematolymphoid Malignancies",,"Unknown status","No Results Available","Biological: therapeutic allogeneic lymphocytes","Phase 1","null","https://ClinicalTrials.gov/show/NCT01523223"
1087,"NCT02134782","Yoga Fatigue Study",,"Recruiting","No Results Available","Behavioral: Individualized Yoga Intervention Group|Other: iPad Activity Control Group","Not Applicable","null","https://ClinicalTrials.gov/show/NCT02134782"
1088,"NCT03015896","Nivolumab and Lenalidomide in Treating Patients With Relapsed or Refractory Non-Hodgkin or Hodgkin Lymphoma",,"Recruiting","No Results Available","Other: Laboratory Biomarker Analysis|Drug: Lenalidomide|Biological: Nivolumab","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT03015896"
1089,"NCT02086591","A Phase II Study of Doxycycline in Relapsed NHL",,"Terminated","Has Results","Drug: Doxycycline","Phase 2","December 22, 2016","https://ClinicalTrials.gov/show/NCT02086591"
1090,"NCT01789255","Vorinostat, Tacrolimus, and Methotrexate in Preventing GVHD After Stem Cell Transplant in Patients With Hematological Malignancies",,"Completed","Has Results","Drug: vorinostat|Drug: tacrolimus|Drug: cyclosporine|Drug: methotrexate|Other: laboratory biomarker analysis|Other: pharmacological study","Phase 2","November 13, 2015","https://ClinicalTrials.gov/show/NCT01789255"
1091,"NCT01678443","Monoclonal Antibody Therapy Before Stem Cell Transplant in Treating Patients With Relapsed or Refractory Lymphoid Malignancies",,"Active, not recruiting","Has Results","Biological: indium In 111 anti-CD45 monoclonal antibody BC8|Radiation: yttrium Y 90 anti-CD45 monoclonal antibody BC8|Procedure: peripheral blood stem cell transplantation","Phase 1","November 9, 2017","https://ClinicalTrials.gov/show/NCT01678443"
